Location,Price (RM),Rooms,Store,Bathrooms,Property Type,Size (sqft),Furnishing,Price/Sqft
45,1250000,2,1,3.0,16,1335.0,0,936.3295880149813
27,6800000,6,0,7.0,9,6900.0,1,985.5072463768116
31,1030000,3,0,4.0,12,1875.0,1,549.3333333333334
16,900000,4,1,3.0,12,1513.0,1,594.8446794448116
85,5350000,4,2,5.0,9,7200.0,1,743.0555555555555
85,2600000,5,0,4.0,15,3600.0,1,722.2222222222222
85,1950000,4,1,4.0,2,25.0,1,78000.0
74,385000,3,0,2.0,8,904.0,1,425.88495575221236
85,1680000,4,0,3.0,2,22.0,1,76363.63636363637
85,1700000,3,1,3.0,2,1900.0,1,894.7368421052631
85,4580000,6,1,5.0,9,6000.0,1,763.3333333333334
85,3100000,4,1,3.0,15,3600.0,1,861.1111111111111
19,9000000,6,1,7.0,9,8500.0,1,1058.8235294117646
27,4500000,5,1,7.0,9,4842.0,1,929.368029739777
53,1780000,4,1,4.0,12,1830.0,1,972.6775956284152
53,3450000,4,1,6.0,12,3720.0,0,927.4193548387096
29,1500000,3,2,4.0,12,1798.0,1,834.2602892102336
27,1550000,1,0,1.0,16,904.0,0,1714.6017699115043
53,1500000,3,1,4.0,12,2163.0,0,693.4812760055479
53,1450000,3,1,4.0,12,2163.0,0,670.3652334720296
10,490000,1,0,1.0,16,520.0,0,942.3076923076923
16,610000,3,1,2.0,12,1236.0,1,493.5275080906149
31,1035880,3,1,4.0,12,1876.0,1,552.1748400852879
53,1830000,3,0,4.0,12,1668.0,1,1097.1223021582734
4,3300000,4,1,4.0,12,3536.0,2,933.2579185520362
47,560000,3,0,2.0,2,16.0,1,35000.0
4,460000,1,0,1.0,16,613.0,0,750.4078303425775
45,2400000,2,0,2.0,16,1006.0,0,2385.685884691849
37,1438000,3,2,4.0,12,2378.0,1,604.7098402018503
53,1720000,3,2,6.0,12,2020.0,1,851.4851485148515
45,3600000,4,0,4.0,16,3897.0,1,923.7875288683603
45,4280000,3,1,4.0,16,2195.0,0,1949.8861047835992
45,2300000,1,0,2.0,16,1023.0,1,2248.289345063539
27,4200000,6,0,5.0,9,5274.0,1,796.3594994311718
75,900000,6,0,5.0,4,20.0,0,45000.0
45,2700000,3,1,4.0,16,3095.0,0,872.3747980613894
53,1080000,2,0,2.0,16,896.0,0,1205.357142857143
53,1150000,3,0,2.0,12,1200.0,1,958.3333333333334
16,1070000,4,1,4.0,12,1772.0,1,603.8374717832957
16,930000,4,0,3.0,12,1513.0,1,614.6728354263054
10,780000,2,0,2.0,16,880.0,1,886.3636363636364
45,4098000,3,1,3.0,16,2066.0,1,1983.5430784123912
42,1800000,2,0,2.0,16,1244.0,0,1446.9453376205788
53,3600000,4,2,6.0,12,4090.0,0,880.1955990220049
53,2300000,4,1,5.0,12,2702.0,1,851.2213175425611
45,4000000,3,1,3.0,12,2250.0,0,1777.7777777777778
4,4800000,5,0,6.0,12,4300.0,1,1116.2790697674418
4,3780000,4,1,5.0,12,3628.0,1,1041.896361631753
10,850000,2,1,2.0,16,1050.0,0,809.5238095238095
53,1850000,3,1,4.0,12,2347.0,1,788.2403067746059
45,1698800,2,0,2.0,16,1227.0,0,1384.5150774246129
75,999000,4,1,4.0,4,2512.0,1,397.6910828025478
44,3500000,1,0,1.0,16,1648.0,1,2123.78640776699
45,1500000,2,0,2.0,16,1022.0,0,1467.7103718199608
45,2300000,1,0,2.0,16,1023.0,1,2248.289345063539
53,1830000,3,1,4.0,12,1830.0,1,1000.0
82,750000,4,0,3.0,2,24.0,1,31250.0
69,580000,4,1,2.0,12,1550.0,1,374.19354838709677
53,2180000,4,1,4.0,12,3000.0,1,726.6666666666666
45,2030000,3,1,5.0,12,2356.0,0,861.6298811544991
53,3450000,4,1,6.0,12,3720.0,0,927.4193548387096
24,4080000,4,1,5.0,12,3713.0,1,1098.8419068138971
85,2880000,4,1,3.0,2,4244.0,1,678.6050895381716
45,1799000,1,0,1.0,16,720.0,0,2498.6111111111113
45,1820000,2,1,2.0,12,1159.0,0,1570.3192407247627
45,1000000,3,1,3.0,16,1313.0,1,761.6146230007616
45,1650000,3,1,5.0,12,1905.0,0,866.1417322834645
45,2300000,1,0,1.0,16,1023.0,1,2248.289345063539
53,2400000,4,1,5.0,12,2702.0,1,888.2309400444116
45,2055000,1,1,1.0,16,797.0,1,2578.419071518193
45,1714000,1,0,1.0,16,700.0,1,2448.5714285714284
16,620000,3,0,2.0,12,1232.0,1,503.24675324675326
16,1720000,6,1,7.0,3,3033.0,2,567.0952851961754
45,2300000,3,1,4.0,16,3282.0,1,700.7921998781231
16,920000,4,1,3.0,12,1513.0,1,608.0634500991408
45,2300000,1,0,1.0,16,1046.0,1,2198.852772466539
85,4995000,5,1,7.0,9,8113.0,1,615.6785406138297
85,1630000,4,0,3.0,2,22.0,1,74090.90909090909
53,1850000,4,1,4.0,12,1830.0,1,1010.9289617486339
45,1783000,2,0,2.0,12,976.0,1,1826.844262295082
31,1180000,3,1,4.0,12,1942.0,1,607.6210092687951
24,1700000,2,1,2.0,16,1442.0,0,1178.9181692094314
45,850000,1,0,2.0,16,761.0,0,1116.951379763469
53,3100000,4,1,6.0,12,3400.0,0,911.7647058823529
16,630000,2,0,2.0,16,791.0,1,796.4601769911504
47,2040000,5,1,5.0,3,32.0,1,63750.0
45,1780000,1,0,1.0,16,728.0,0,2445.054945054945
29,2850000,3,1,3.0,4,3211.0,1,887.5739644970414
29,1050000,2,1,2.0,12,1389.0,1,755.939524838013
53,2600000,4,1,4.0,12,3041.0,1,854.9819138441302
10,630000,1,1,1.0,16,663.0,1,950.2262443438914
45,3364000,2,1,2.0,16,1399.0,0,2404.5746962115795
16,978000,4,1,3.0,12,1513.0,1,646.3978849966953
45,3600000,3,1,5.0,16,3897.0,1,923.7875288683603
45,2000000,1,0,1.0,16,1087.0,0,1839.9264029438823
53,1630000,4,1,4.0,12,2065.0,1,789.3462469733656
85,1280000,4,0,3.0,2,25.0,1,51200.0
45,1250000,2,0,2.0,12,736.0,1,1698.3695652173913
10,630000,1,1,1.0,16,650.0,0,969.2307692307693
45,1350000,2,0,2.0,16,1050.0,0,1285.7142857142858
10,490000,1,0,1.0,16,500.0,0,980.0
10,800000,2,0,2.0,16,825.0,1,969.6969696969697
29,1980000,3,1,4.0,2,2200.0,1,900.0
31,1035000,3,1,5.0,12,1853.0,3,558.553696708041
45,1000000,1,0,1.0,12,657.0,0,1522.0700152207
75,448800,3,0,3.0,16,1045.0,2,429.4736842105263
27,4900000,5,1,6.0,15,3700.0,0,1324.3243243243244
53,2480000,4,1,5.0,12,3041.0,1,815.5212101282473
44,2716000,3,1,4.0,16,2227.0,1,1219.5779074988775
44,1480000,3,1,3.0,12,1544.0,0,958.5492227979274
25,9500000,6,1,7.0,9,10000.0,1,950.0
79,500000,2,0,2.0,16,715.0,1,699.3006993006993
27,13800000,5,1,7.0,9,7500.0,1,1840.0
29,3490000,5,0,5.0,4,38.0,1,91842.1052631579
29,2300000,4,0,3.0,2,22.0,1,104545.45454545454
53,2480000,4,1,5.0,12,3041.0,2,815.5212101282473
45,3500000,3,0,3.0,16,1560.0,0,2243.5897435897436
85,1380000,4,0,3.0,2,24.0,0,57500.0
45,3600000,3,1,4.0,16,3897.0,0,923.7875288683603
29,2500000,4,1,6.0,4,22.0,1,113636.36363636363
16,1060000,4,1,4.0,12,1772.0,1,598.1941309255079
45,1850000,3,0,1.0,12,2174.0,1,850.9659613615455
66,668000,3,1,3.0,12,1345.0,0,496.6542750929368
45,1050000,2,2,3.0,16,1313.0,0,799.6953541507997
29,3170000,4,1,5.0,4,4306.0,1,736.1820715281003
29,3400000,5,1,6.0,4,5448.0,2,624.0822320117475
45,2998000,3,1,3.0,12,3218.0,1,931.6345556246116
45,2580000,3,1,3.0,12,2809.0,1,918.4763260946957
29,5600000,7,1,9.0,5,7000.0,1,800.0
29,1260000,2,1,3.0,12,1485.0,1,848.4848484848485
29,4950000,5,2,7.0,5,33.0,2,150000.0
29,1990000,3,1,4.0,2,2500.0,1,796.0
47,920000,5,0,3.0,2,20.0,1,46000.0
53,2100000,4,0,4.0,12,2441.0,0,860.3031544448996
45,1100000,2,0,2.0,16,880.0,0,1250.0
45,3600000,4,1,3.0,16,3897.0,1,923.7875288683603
45,2900000,3,1,4.0,12,2809.0,0,1032.3958704165184
66,670000,3,0,2.0,12,1085.0,1,617.5115207373271
29,1370000,3,1,3.0,12,1572.0,1,871.5012722646311
29,3480000,4,1,5.0,4,3450.0,1,1008.695652173913
29,1350000,2,0,2.0,12,1292.0,1,1044.891640866873
45,1900000,2,0,2.0,12,915.0,1,2076.502732240437
45,1450000,2,0,2.0,16,1090.0,0,1330.2752293577983
45,1000000,Studio,0,1.0,12,657.0,0,1522.0700152207
45,1300000,1,0,1.0,16,925.0,1,1405.4054054054054
45,3600000,3,0,4.0,16,3897.0,1,923.7875288683603
85,5350000,6,0,5.0,9,7200.0,1,743.0555555555555
16,1050000,4,1,4.0,12,1772.0,1,592.5507900677201
16,1200000,5,1,4.0,12,1930.0,1,621.7616580310881
16,900000,4,1,3.0,12,1513.0,1,594.8446794448116
27,2251800,2,1,4.0,16,1668.0,1,1350.0
16,998000,5,1,5.0,4,1650.0,1,604.8484848484849
53,1550000,3,1,4.0,12,1496.0,1,1036.096256684492
69,780000,3,0,3.0,12,1368.0,1,570.1754385964912
29,1380000,2,0,2.0,12,1292.0,1,1068.1114551083592
29,1798000,3,1,3.0,4,2200.0,1,817.2727272727273
45,1268000,3,0,3.0,12,1619.0,0,783.1995058678197
45,2600000,3,1,4.0,12,2809.0,0,925.5962976148095
45,4200000,3,1,4.0,16,2195.0,1,1913.4396355353076
45,3330000,2,1,3.0,16,2789.0,0,1193.9763356041592
45,2600000,2,0,2.0,16,1184.0,0,2195.945945945946
45,1950000,1,1,2.0,16,1076.0,1,1812.267657992565
47,638000,3,1,2.0,1,27.0,1,23629.62962962963
45,1400000,2,0,2.0,16,1050.0,0,1333.3333333333333
47,850000,4,0,3.0,2,22.0,1,38636.36363636364
27,6500000,6,0,5.0,9,7200.0,1,902.7777777777778
53,1800000,4,0,4.0,12,1830.0,1,983.6065573770492
9,3800000,4,1,5.0,9,4067.0,1,934.3496434718465
45,3600000,3,2,5.0,16,3897.0,3,923.7875288683603
85,1790000,4,0,3.0,2,22.0,1,81363.63636363637
65,635000,3,1,4.0,12,1643.0,1,386.488131466829
45,5070000,3,1,4.0,16,2142.0,1,2366.9467787114845
42,1207000,Studio,0,1.0,16,685.0,1,1762.043795620438
42,1177000,2,0,1.0,16,717.0,1,1641.5620641562064
85,3000000,3,0,2.0,0,5700.0,1,526.3157894736842
94,700000,3,0,2.0,12,1152.0,1,607.6388888888889
4,3710000,4,1,5.0,12,3369.0,1,1101.2169783318493
53,1900000,3,1,4.0,12,2411.0,0,788.0547490667773
53,3785400,5,1,5.0,12,3907.0,1,968.8763757358587
45,1300000,2,0,2.0,12,871.0,0,1492.5373134328358
66,960000,3,1,4.0,12,1488.0,2,645.1612903225806
42,490000,4,0,2.0,12,1065.0,2,460.09389671361504
53,4200000,5,1,5.0,12,3709.0,1,1132.3806956052845
45,1450000,2,0,1.0,16,1050.0,0,1380.952380952381
29,2380000,4,1,4.0,12,2454.0,0,969.8451507742461
16,1210000,5,1,6.0,4,3400.0,1,355.88235294117646
85,4995000,5,1,7.0,9,8113.0,1,615.6785406138297
53,1900000,4,1,4.0,12,1830.0,1,1038.2513661202186
45,2700000,2,0,2.0,16,1195.0,1,2259.4142259414225
45,6300000,3,1,4.0,16,2195.0,1,2870.159453302961
45,1900000,2,1,2.0,12,915.0,0,2076.502732240437
45,3000000,4,1,5.0,12,3218.0,1,932.2560596643879
45,1300000,2,0,2.0,12,871.0,0,1492.5373134328358
45,1000000,1,0,1.0,12,751.0,1,1331.5579227696405
45,2000000,2,1,2.0,16,1350.0,0,1481.4814814814815
45,6380000,3,1,4.0,16,2195.0,1,2906.6059225512527
53,2480000,4,1,6.0,12,2702.0,1,917.8386380458919
11,676775,3,1,3.0,16,1265.0,1,535.0
53,2280000,4,1,5.0,12,2702.0,1,843.819393042191
53,1830000,4,1,4.0,12,1830.0,1,1000.0
24,1750000,2,1,3.0,16,1442.0,1,1213.5922330097087
29,1780000,3,1,3.0,2,2400.0,0,741.6666666666666
47,3380000,5,0,4.0,15,4050.0,1,834.5679012345679
16,1200000,5,1,4.0,12,1930.0,1,621.7616580310881
45,2300000,1,0,2.0,16,1046.0,1,2198.852772466539
53,1600000,3,1,3.0,12,1878.0,1,851.9701810436635
53,1291000,5,1,4.0,12,2069.0,1,623.9729337844369
45,880000,1,0,1.0,16,710.0,0,1239.4366197183099
37,655000,3,1,2.0,16,1094.0,1,598.7202925045704
53,1400000,3,1,4.0,12,1496.0,1,935.8288770053476
45,7975250,4,1,6.0,16,2975.0,0,2680.7563025210084
53,1100000,3,0,2.0,12,1200.0,1,916.6666666666666
45,1238000,2,0,2.0,12,736.0,1,1682.0652173913043
10,750000,2,0,2.0,16,823.0,1,911.3001215066829
27,2100000,3,1,4.0,12,2153.0,1,975.3831862517418
53,1500000,3,0,2.0,12,1200.0,0,1250.0
53,2300000,4,1,6.0,12,2702.0,1,851.2213175425611
45,1000000,2,1,2.0,16,777.0,1,1287.001287001287
45,990000,2,2,3.0,16,1313.0,0,753.998476770754
45,3960000,3,1,4.0,16,2195.0,1,1804.1002277904329
45,2700000,2,0,2.0,16,1184.0,0,2280.4054054054054
45,1900000,1,1,2.0,16,1087.0,0,1747.930082796688
29,5460000,7,1,9.0,5,7000.0,1,780.0
45,2050000,3,1,5.0,12,2356.0,0,870.1188455008489
10,1121800,2,1,2.0,16,1200.0,0,934.8333333333334
45,1506300,2,0,1.0,16,1020.0,0,1476.764705882353
9,1530000,3,1,3.0,12,2095.0,0,730.3102625298329
3,3680000,7,0,8.0,9,6300.0,2,584.1269841269841
53,2300000,4,1,5.0,12,2906.0,1,791.4659325533379
73,14800000,4,2,6.0,9,8611.0,0,1718.7318546045756
29,1480000,3,2,4.0,12,1917.0,1,772.0396452790819
10,1050000,3,0,2.0,12,1485.0,0,707.070707070707
