Location,Price (RM),Rooms,Bathrooms,Car Parks,Property Type,Size (sqft),Furnishing
40,1250000,2,3.0,2.0,16,1335.0,0
26,1030000,3,4.0,2.0,12,1875.0,1
11,900000,4,3.0,2.0,12,1513.0,1
73,5350000,4,5.0,4.0,9,7200.0,1
73,2600000,5,4.0,4.0,15,3600.0,1
73,1950000,4,4.0,3.0,2,25.0,1
64,385000,3,2.0,1.0,8,904.0,1
73,4580000,6,5.0,5.0,9,6000.0,1
14,9000000,6,7.0,4.0,9,8500.0,1
47,1780000,4,4.0,2.0,12,1830.0,1
47,3450000,4,6.0,3.0,12,3720.0,0
24,1500000,3,4.0,2.0,12,1798.0,1
22,1550000,1,1.0,1.0,16,904.0,0
47,1500000,3,4.0,3.0,12,2163.0,0
6,490000,1,1.0,1.0,16,520.0,0
11,610000,3,2.0,2.0,12,1236.0,1
26,1035880,3,4.0,1.0,12,1876.0,1
1,3300000,4,4.0,4.0,12,3536.0,2
1,460000,1,1.0,1.0,16,613.0,0
40,2400000,2,2.0,1.0,16,1006.0,0
32,1438000,3,4.0,3.0,12,2378.0,1
47,1720000,3,6.0,3.0,12,2020.0,1
40,4280000,3,4.0,2.0,16,2195.0,0
40,2300000,1,2.0,1.0,16,1023.0,1
22,4200000,6,5.0,5.0,9,5274.0,1
65,900000,6,5.0,3.0,4,20.0,0
40,2700000,3,4.0,3.0,16,3095.0,0
47,1080000,2,2.0,1.0,16,896.0,0
47,1150000,3,2.0,2.0,12,1200.0,1
11,1070000,4,4.0,4.0,12,1772.0,1
11,930000,4,3.0,2.0,12,1513.0,1
6,780000,2,2.0,1.0,16,880.0,1
40,4098000,3,3.0,2.0,16,2066.0,1
37,1800000,2,2.0,1.0,16,1244.0,0
47,2300000,4,5.0,2.0,12,2702.0,1
40,4000000,3,3.0,2.0,12,2250.0,0
1,4800000,5,6.0,3.0,12,4300.0,1
1,3780000,4,5.0,4.0,12,3628.0,1
6,850000,2,2.0,1.0,16,1050.0,0
40,1698800,2,2.0,1.0,16,1227.0,0
65,999000,4,4.0,2.0,4,2512.0,1
39,3500000,1,1.0,1.0,16,1648.0,1
40,1500000,2,2.0,1.0,16,1022.0,0
40,2300000,1,2.0,1.0,16,1023.0,1
47,1830000,3,4.0,2.0,12,1830.0,1
71,750000,4,3.0,3.0,2,24.0,1
61,580000,4,2.0,2.0,12,1550.0,1
47,2180000,4,4.0,3.0,12,3000.0,1
40,2030000,3,5.0,2.0,12,2356.0,0
47,3450000,4,6.0,3.0,12,3720.0,0
19,4080000,4,5.0,2.0,12,3713.0,1
73,2880000,4,3.0,4.0,2,4244.0,1
40,1799000,1,1.0,1.0,16,720.0,0
40,1820000,2,2.0,2.0,12,1159.0,0
40,1000000,3,3.0,2.0,16,1313.0,1
40,1650000,3,5.0,2.0,12,1905.0,0
40,2300000,1,1.0,2.0,16,1023.0,1
47,2400000,4,5.0,3.0,12,2702.0,1
40,2055000,1,1.0,1.0,16,797.0,1
40,1714000,1,1.0,1.0,16,700.0,1
40,2300000,3,4.0,3.0,16,3282.0,1
11,920000,4,3.0,2.0,12,1513.0,1
40,2300000,1,1.0,2.0,16,1046.0,1
73,4995000,5,7.0,6.0,9,8113.0,1
73,1630000,4,3.0,2.0,2,22.0,1
47,1850000,4,4.0,2.0,12,1830.0,1
40,1783000,2,2.0,1.0,12,976.0,1
26,1180000,3,4.0,1.0,12,1942.0,1
19,1700000,2,2.0,1.0,16,1442.0,0
47,3100000,4,6.0,3.0,12,3400.0,0
11,630000,2,2.0,2.0,16,791.0,1
41,2040000,5,5.0,4.0,3,32.0,1
40,1780000,1,1.0,1.0,16,728.0,0
24,1050000,2,2.0,2.0,12,1389.0,1
47,2600000,4,4.0,3.0,12,3041.0,1
6,630000,1,1.0,1.0,16,663.0,1
40,3364000,2,2.0,2.0,16,1399.0,0
11,978000,4,3.0,2.0,12,1513.0,1
40,3600000,3,5.0,2.0,16,3897.0,1
40,2000000,1,1.0,1.0,16,1087.0,0
47,1630000,4,4.0,2.0,12,2065.0,1
73,1280000,4,3.0,3.0,2,25.0,1
40,1250000,2,2.0,1.0,12,736.0,1
6,630000,1,1.0,1.0,16,650.0,0
40,1350000,2,2.0,1.0,16,1050.0,0
6,490000,1,1.0,1.0,16,500.0,0
6,800000,2,2.0,1.0,16,825.0,1
26,1035000,3,5.0,2.0,12,1853.0,3
40,1000000,1,1.0,1.0,12,657.0,0
65,448800,3,3.0,1.0,16,1045.0,2
47,2480000,4,5.0,3.0,12,3041.0,1
39,2716000,3,4.0,2.0,16,2227.0,1
20,9500000,6,7.0,6.0,9,10000.0,1
68,500000,2,2.0,1.0,16,715.0,1
22,13800000,5,7.0,3.0,9,7500.0,1
24,2300000,4,3.0,2.0,2,22.0,1
47,2480000,4,5.0,3.0,12,3041.0,2
40,3500000,3,3.0,1.0,16,1560.0,0
73,1380000,4,3.0,2.0,2,24.0,0
40,3600000,3,4.0,2.0,16,3897.0,0
11,1060000,4,4.0,4.0,12,1772.0,1
11,900000,4,3.0,3.0,12,1513.0,1
40,1850000,3,1.0,1.0,12,2174.0,1
59,668000,3,3.0,3.0,12,1345.0,0
40,1050000,2,3.0,2.0,16,1313.0,0
40,2998000,3,3.0,2.0,12,3218.0,1
40,2580000,3,3.0,2.0,12,2809.0,1
40,1100000,2,2.0,1.0,16,880.0,0
40,3600000,4,3.0,2.0,16,3897.0,1
40,2900000,3,4.0,3.0,12,2809.0,0
59,670000,3,2.0,2.0,12,1085.0,1
24,1350000,2,2.0,2.0,12,1292.0,1
40,1900000,2,2.0,1.0,12,915.0,1
40,1450000,2,2.0,2.0,16,1090.0,0
40,1300000,1,1.0,1.0,16,925.0,1
40,3600000,3,4.0,2.0,16,3897.0,1
73,5350000,6,5.0,3.0,9,7200.0,1
11,1050000,4,4.0,4.0,12,1772.0,1
11,1200000,5,4.0,4.0,12,1930.0,1
11,900000,4,3.0,2.0,12,1513.0,1
22,2251800,2,4.0,2.0,16,1668.0,1
11,998000,5,5.0,4.0,4,1650.0,1
47,1550000,3,4.0,2.0,12,1496.0,1
61,780000,3,3.0,2.0,12,1368.0,1
24,1380000,2,2.0,2.0,12,1292.0,1
24,1798000,3,3.0,2.0,4,2200.0,1
40,1268000,3,3.0,1.0,12,1619.0,0
40,2600000,3,4.0,3.0,12,2809.0,0
40,4200000,3,4.0,2.0,16,2195.0,1
40,3330000,2,3.0,1.0,16,2789.0,0
40,2600000,2,2.0,1.0,16,1184.0,0
40,1950000,1,2.0,1.0,16,1076.0,1
41,638000,3,2.0,4.0,1,27.0,1
40,1400000,2,2.0,1.0,16,1050.0,0
41,850000,4,3.0,2.0,2,22.0,1
22,6500000,6,5.0,4.0,9,7200.0,1
47,1800000,4,4.0,2.0,12,1830.0,1
5,3800000,4,5.0,4.0,9,4067.0,1
40,3600000,3,5.0,2.0,16,3897.0,3
58,635000,3,4.0,2.0,12,1643.0,1
40,5070000,3,4.0,3.0,16,2142.0,1
37,1207000,0,1.0,1.0,16,685.0,1
37,1177000,2,1.0,1.0,16,717.0,1
76,700000,3,2.0,2.0,12,1152.0,1
47,3785400,5,5.0,3.0,12,3907.0,1
40,1300000,2,2.0,2.0,12,871.0,0
59,960000,3,4.0,2.0,12,1488.0,2
37,490000,4,2.0,2.0,12,1065.0,2
47,4200000,5,5.0,3.0,12,3709.0,1
40,1450000,2,1.0,1.0,16,1050.0,0
24,2380000,4,4.0,3.0,12,2454.0,0
11,1210000,5,6.0,4.0,4,3400.0,1
73,4995000,5,7.0,6.0,9,8113.0,1
47,1900000,4,4.0,2.0,12,1830.0,1
40,2700000,2,2.0,2.0,16,1195.0,1
40,6300000,3,4.0,2.0,16,2195.0,1
40,1900000,2,2.0,1.0,12,915.0,0
40,3000000,4,5.0,3.0,12,3218.0,1
40,1000000,1,1.0,1.0,12,751.0,1
40,2000000,2,2.0,1.0,16,1350.0,0
40,6380000,3,4.0,2.0,16,2195.0,1
7,676775,3,3.0,4.0,16,1265.0,1
47,1830000,4,4.0,2.0,12,1830.0,1
19,1750000,2,3.0,1.0,16,1442.0,1
24,1780000,3,3.0,2.0,2,2400.0,0
11,1200000,5,4.0,4.0,12,1930.0,1
40,2300000,1,2.0,1.0,16,1046.0,1
47,1600000,3,3.0,2.0,12,1878.0,1
47,1291000,5,4.0,3.0,12,2069.0,1
40,880000,1,1.0,1.0,16,710.0,0
32,655000,3,2.0,2.0,16,1094.0,1
47,1400000,3,4.0,2.0,12,1496.0,1
40,7975250,4,6.0,2.0,16,2975.0,0
47,1100000,3,2.0,2.0,12,1200.0,1
40,1238000,2,2.0,1.0,12,736.0,1
6,750000,2,2.0,1.0,16,823.0,1
22,2100000,3,4.0,2.0,12,2153.0,1
47,1500000,3,2.0,2.0,12,1200.0,0
47,2300000,4,6.0,3.0,12,2702.0,1
40,990000,2,3.0,2.0,16,1313.0,0
40,3960000,3,4.0,2.0,16,2195.0,1
40,2700000,2,2.0,2.0,16,1184.0,0
40,1900000,1,2.0,1.0,16,1087.0,0
24,5460000,7,9.0,6.0,5,7000.0,1
40,2050000,3,5.0,2.0,12,2356.0,0
6,1121800,2,2.0,1.0,16,1200.0,0
40,1506300,2,1.0,1.0,16,1020.0,0
5,1530000,3,3.0,2.0,12,2095.0,0
0,3680000,7,8.0,4.0,9,6300.0,2
63,14800000,4,6.0,4.0,9,8611.0,0
24,1480000,3,4.0,2.0,12,1917.0,1
6,1050000,3,2.0,2.0,12,1485.0,0
43,1200019,2,2.0,1.0,12,577.0,1
12,4988888,4,6.0,3.0,6,24.0,1
47,1820000,4,4.0,2.0,12,1830.0,1
47,1420000,3,4.0,2.0,12,1499.0,1
47,1830000,4,4.0,2.0,12,1832.0,1
12,4988888,5,6.0,3.0,6,24.0,1
40,1680000,3,2.0,3.0,12,1159.0,0
40,2210000,3,3.0,2.0,12,1502.0,0
